,연도,월,순위,곡명,가수명
155,2008,8,56,그대만이 (MBC '우리 결혼했어요' 알렉스&신애 테마곡),김종욱
156,2008,8,57,Bad Boy,손담비
157,2008,8,58,6년동안,별
158,2008,8,59,추억속의 그대,이승기
159,2008,8,60,행복해야 해,이기찬
160,2008,8,61,천하무적 이효리,이효리
161,2008,8,62,남자 (男子),남규리
162,2008,8,63,바보에게... 바보가,박명수
163,2008,8,64,사랑이 그렇게 쉬워 (Feat. 태인),나몰라패밀리 (Namolla Family)
164,2008,8,65,아이처럼,김동률
165,2008,8,66,Human Dream,서태지
166,2008,8,67,해뜰날 (Feat. 마이티 마우스),신지
167,2008,8,68,Your Eyes,브라운 아이즈
168,2008,8,69,한 남자 한 여자 (Duet. 한경일),란 (RAN)
169,2008,8,70,멋지게 이별,SG 워너비
170,2008,8,71,결혼 (Feat. 가인 For 브라운아이드걸스),정철 (최정철)
171,2008,8,72,우리들의 행복한 시간 (Feat. 주(Joo) Narr. 안혜경),"미노 (프리스타일), 타우"
172,2008,8,73,청혼,노을
173,2008,8,74,기억을 걷는 시간,넬 (NELL)
174,2008,8,75,T'IK T'AK,서태지
175,2008,8,76,Don't Cry,이효리
176,2008,8,77,빨간자동차 (With 김건모),이효리
177,2008,8,78,Lesson,이효리
178,2008,8,79,슬픔활용법,김범수
179,2008,8,80,One More Time,쥬얼리
180,2008,8,81,입버릇 (Feat. 이루),제드
181,2008,8,82,Brave,Jennifer Lopez
182,2008,8,83,Just Friend (Feat. 다이나믹 듀오),BMK
183,2008,8,84,I Love You (Feat. 신디),란 (RAN)
184,2008,8,85,취중진담 (Feat. AND),플라이 투 더 스카이
185,2008,8,86,모두 다 쉿!,쥬얼리
186,2008,8,87,Find (파인드),SS501
187,2008,8,88,슬픈 다짐,다비치
188,2008,8,89,Good Love (Feat. BSK a.k.a 김범수),다이나믹 듀오
189,2008,8,90,투명인간,손담비
190,2008,8,91,마지막 인사,BIGBANG
191,2008,8,92,안타까워,제이워크
192,2008,8,93,Sexy Boy (With 휘성),이효리
193,2008,8,94,사랑후애 (僞愛),FTISLAND (FT아일랜드)
194,2008,8,95,이별을 견디는 몇가지 방법,쿨 (COOL)
195,2008,8,96,Come On! Come On!,한영
196,2008,8,97,요리왕 (Cooking? Cooking!),SUPER JUNIOR-Happy (슈퍼주니어-Happy)
197,2008,8,98,너였구나,견우 (Kyunwoo)
198,2008,8,99,어쩜 좋아,메이비 (Maybee)
199,2008,8,100,"파파라치 (Feat. 윤하, 태완, a.k.a C-Luv)",아주
